name,vendor_code,hex_color,oklch_l,oklch_c,oklch_h,color_family
Natural White,2021,FDF5E9,0.973,0.018,78.244,Gray
Chalk,2026,FFFCCC,0.982,0.062,104.516,Yellow
Light Lemon,2110,FEECD0,0.950,0.042,78.972,Yellow-orange
Butter,2123,F6D08D,0.875,0.095,81.147,Yellow-orange
Light Caramel,6001,EBB25A,0.799,0.124,76.150,Yellow-orange
Ocher Yellow,5001,FCD881,0.894,0.114,87.619,Yellow
Medium Butter,2130,FDE3AC,0.924,0.076,85.543,Yellow-orange
Champagne,2105,F0C172,0.836,0.111,79.316,Yellow-orange
Wheat,2125,FDF458,0.947,0.171,106.025,Yellow
Lemon,2115,E5B225,0.789,0.153,86.406,Yellow
Gold Yellow,5015,FDDD06,0.897,0.185,98.523,Yellow
Canary,2120,FAB215,0.811,0.165,78.655,Yellow-orange
Yellow,2135,FCCB06,0.860,0.175,90.966,Yellow
Pale Yellow,1135,FFCF06,0.871,0.177,91.687,Yellow
Spun Gold,2134,FAB20B,0.811,0.167,79.019,Yellow-orange
Tarnished Gold,2132,F89C22,0.769,0.162,66.370,Orange
Orange Mustard,2140,F5970F,0.756,0.166,66.120,Orange
Yellow Orange,2145,F68B11,0.737,0.170,59.459,Orange
Golden Honey,2214,F9A747,0.792,0.145,66.819,Orange
Medium Orange,5009,F58113,0.720,0.174,54.736,Orange
Bright Orange,1133,F46F16,0.692,0.185,46.927,Orange
Pumpkin,2150,F36018,0.670,0.195,41.493,Red-orange
Rusty Orange,2235,E96017,0.655,0.186,42.933,Orange
Orange,2240,DA4219,0.596,0.195,34.947,Red-orange
Neon Orange,1104,F1491C,0.641,0.211,34.846,Red-orange
Dusty Orange,1154,F14D3E,0.648,0.203,29.047,Red-orange
Light Salmon,2220,F78E80,0.756,0.130,28.529,Red
Tangerine Dream,6729,F14853,0.646,0.205,21.590,Red
Salmon,2225,F35B65,0.673,0.186,19.847,Red
Medium Red,5002,ED114C,0.604,0.236,16.772,Red
Light Red Orange,2277,F03C2E,0.629,0.218,29.227,Red-orange
Red Orange,2245,EF2E31,0.617,0.226,26.426,Red-orange
Dark Red Orange,2255,EE2922,0.611,0.230,28.598,Red-orange
Paprika,2270,E31635,0.584,0.227,22.607,Red
Lobster Red,2265,D2103E,0.552,0.215,18.313,Red
Red,2250,E71637,0.592,0.231,22.347,Red
Oyster,2405,FDE7E6,0.945,0.024,20.731,Red
Fairy Floss,6723,FCD3D5,0.902,0.046,14.725,Red
Pale Pink,2410,F9B2BF,0.834,0.084,6.953,Red
Baby Pink,2423,F8A1C1,0.804,0.110,356.199,Red-violet
Blush,2415,F8A69E,0.803,0.099,25.611,Red-orange
Peachy Pink,2435,F68A7E,0.747,0.133,27.363,Red-orange
Bright Pink,2425,F68BA3,0.758,0.132,6.332,Red
Antique Rose,2430,F5759A,0.722,0.160,3.719,Red
Light Peony,2437,FABCB8,0.851,0.072,22.908,Red
Victorian Rose,2445,EC8598,0.733,0.127,8.886,Red
Medium Carmine Red,2455,E85076,0.647,0.188,9.024,Red
Red Plum,1100,C72C73,0.559,0.197,358.365,Red-violet
Blossom Pink,2530,F03C7A,0.642,0.218,5.409,Red-violet
Peony,2440,F681AB,0.745,0.149,358.553,Red-violet
Red Peony,2230,CF2F4C,0.565,0.195,16.534,Red
Burgundy,1103,820431,0.390,0.153,10.440,Red
Red Wine,2260,B20D35,0.488,0.190,17.706,Red
Dark Carmine Red,2460,72032A,0.354,0.139,10.437,Red
Pale Lilac,2564,EDD5ED,0.900,0.041,325.915,Violet
Lilac,2562,E2B8E0,0.832,0.072,327.722,Violet
Light Lilac,2510,FCD1EA,0.905,0.058,342.539,Red-violet
Light Orchid,2515,F3B9E0,0.850,0.083,338.869,Red-violet
Dusty Rose,2452,DE8BA3,0.729,0.105,1.298,Red
Rose,2450,C73156,0.555,0.186,11.738,Red
Violet,2479,E89CD3,0.784,0.114,337.336,Red-violet
Light Magenta,2588,ED2CA0,0.639,0.243,350.040,Red-violet
Fuchsia,4020,E40477,0.595,0.240,0.745,Red-violet
Magenta,2535,B60D8B,0.524,0.219,342.636,Red-violet
Medium Orchid,4030,E3ADCF,0.807,0.076,340.83,Red-violet
Wine,5003,C35B9C,0.619,0.153,344.119,Red-violet
Plum,2520,7c0049,0.383,0.157,353.965,Red-violet
Dusty Lavender,1243,9362a9,0.575,0.118,314.780,Blue-violet
Medium Lavender,2540,915FB6,0.575,0.138,309.198,Blue-violet
Medium Purple,2545,641B7C,0.388,0.160,316.124,Blue-violet
Dark Violet,2582,4A217B,0.358,0.144,299.913,Blue-violet
Eggplant,4225,4C2B63,0.358,0.099,309.479,Blue-violet
Light Robins Egg,2710,BAD9F3,0.871,0.049,243.641,Blue
Very Light Delft,2770,B3C6EA,0.824,0.055,263.193,Blue
Robins Egg,2715,9CC2EA,0.801,0.070,250.021,Blue
Iris,2560,D1ADCC,0.789,0.059,330.768,Violet
Grey Violet,2524,928DB6,0.662,0.060,290.232,Blue-violet
Twilight,6733,8F5F8E,0.554,0.091,327.424,Violet
Light Delft Blue,2720,789BD7,0.687,0.097,260.875,Blue
Blue Grey,1126,607DA3,0.582,0.068,255.407,Blue
Slate,6720,7898C9,0.675,0.081,258.737,Blue
Dark Grey Blue,1248,566488,0.506,0.060,267.831,Blue-violet
Steel Blue,2775,485883,0.466,0.073,267.942,Blue-violet
Blue Violet,1200,432C91,0.386,0.157,287.017,Blue-violet
Dark Dusty Grape,2581,4C2B63,0.358,0.099,309.479,Blue-violet
Aubergine,6735,644A82,0.461,0.093,304.405,Blue-violet
Wisteria,2566,AC799F,0.640,0.082,336.109,Violet
Mulberry,2568,703D69,0.439,0.094,332.261,Violet
Very Dark Eggplant,1240,502340,0.330,0.078,342.874,Violet
Plumtastic,2570,452432,0.309,0.054,353.803,Violet
Dusty Blue Violet,2525,747AC5,0.607,0.113,278.961,Blue-violet
Light Blue Violet,1128,446EBF,0.548,0.135,262.214,Blue
Light Wedgewood,2725,6E99CC,0.672,0.090,253.257,Blue
Peacock Blue,6738,3067BA,0.521,0.143,258.612,Blue
Delft Blue,2730,174E94,0.429,0.128,256.593,Blue
Dark Cobalt,2740,27409B,0.410,0.151,267.499,Blue
Medium Blue,2735,2857AF,0.475,0.150,261.509,Blue
Dark Delft Blue,2780,102F5E,0.311,0.092,258.800,Blue
Medium Delft Blue,2783,133A74,0.357,0.109,258.649,Blue
Midnight,2745,13153E,0.223,0.077,276.068,Blue
Dark Navy,2784,0E2B58,0.296,0.088,259.137,Blue
Very Dark Navy,2785,112552,0.277,0.086,263.694,Blue
Medium Grey,1158,4E5871,0.462,0.043,267.727,Cool neutral
Medium Blue Grey,1310,50647B,0.496,0.044,252.229,Blue
Smoke Blue,4644,426888,0.503,0.067,245.096,Blue
Wedgewood,4140,5788C2,0.617,0.103,253.493,Blue
Medium Teal,1125,065E90,0.463,0.109,242.689,Blue
Bright Teal,1320,4194D7,0.646,0.129,246.077,Blue
Light Grey Blue,5007,A5CFD9,0.828,0.046,213.846,Blue
