name,vendor_code,hex_color,oklch_l,oklch_c,oklch_h,color_family
Rose Quartz,3713,FFD1E0,0.904,0.055,356.724,Red
Rose Dawn,761,F9B9CA,0.849,0.077,1.326,Red
Dusty Pink,760,E88DA0,0.743,0.112,6.661,Red
Blush,3712,DD7288,0.680,0.135,8.286,Red
Amaranth,3328,D15767,0.617,0.154,14.859,Red
Egyptian Red,347,B11B39,0.494,0.182,17.483,Red
Ballet Slippers,353,FFCDC7,0.890,0.058,26.226,Red
Salmon,352,FDA8A1,0.813,0.102,24.708,Red-orange
Coral,351,E55C52,0.649,0.173,27.083,Red-orange
Vermillion,350,D03E35,0.577,0.184,27.918,Red-orange
Red Pepper,349,BA1F17,0.509,0.190,29.015,Red-orange
Japanese Red,817,B00C0C,0.480,0.191,28.571,Red-orange
Chinese Lacquer,304,9C073B,0.445,0.174,11.185,Red
Strawberry Sorbet,3833,E684AF,0.731,0.130,353.018,Red
Strawberry,3832,D15784,0.625,0.160,359.770,Red
Wild Strawberry,3831,B02754,0.506,0.174,6.862,Red
Wine,777,70003C,0.355,0.145,357.501,Red
Tulip Red,3801,F43653,0.636,0.223,18.668,Red
Scarlet,666,E00000,0.569,0.234,29.234,Red
Carmine Red,321,C2003A,0.516,0.207,17.064,Red
Red Kiss,498,971C41,0.447,0.158,9.520,Red
Cherry Red,816,8F002B,0.413,0.165,15.826,Red
Black Cherry,815,6C2338,0.374,0.105,6.095,Red
Vin Rouge,814,541835,0.316,0.095,354.035,Red
Rose,894,FF8FB2,0.779,0.140,0.853,Red
Dahlia,893,FF668C,0.713,0.188,7.910,Red
Dahlia,892,F9486B,0.664,0.212,13.918,Red
Geranium,891,EF3E67,0.638,0.212,12.566,Red
Powder Pink,818,FEDCEB,0.927,0.042,349.514,Red
Bubblegum Pink,957,FF9EBE,0.806,0.121,358.908,Red
Hot Pink,956,F6608F,0.693,0.187,3.937,Red
Azalea,3708,FF9EBA,0.805,0.119,1.461,Red
Flamingo,3706,F57A93,0.727,0.152,8.801,Red
Guava,3705,E84F63,0.642,0.188,16.673,Red
Candy Pink,963,FFD6E3,0.914,0.049,357.075,Red
Peony,3716,FFA8C5,0.825,0.108,358.165,Red
Antique Rose,962,E37DA2,0.712,0.132,357.875,Red
Rose Garden,961,CD4778,0.596,0.174,1.410,Red
Crushed Raspberry,309,B4235A,0.512,0.182,4.262,Red
Layette,819,FCE3E3,0.936,0.028,17.654,Red
Wild Rose,3326,FFA8BA,0.822,0.104,6.110,Red
Watermelon,899,E87894,0.707,0.141,5.458,Red
Dark Pink,335,D24B6F,0.606,0.172,7.558,Red
Rhubarb,326,BA0840,0.504,0.198,14.219,Red
Marshmallow,151,FFBDCA,0.862,0.078,5.755,Red
Baker Miller Pink,3354,F8B0C6,0.831,0.088,359.222,Red
Pink Hollyhock,3733,F08AA3,0.749,0.127,4.845,Red
Pink Pepper,3731,DB5C7E,0.644,0.162,6.132,Red
Dragonfruit,3350,BB1B5B,0.520,0.194,4.447,Red
Raspberry,150,97023E,0.434,0.173,8.249,Red
Sakura,23,FFE5F1,0.946,0.032,348.088,Red-violet
Pale Orchid,3689,F9BDD3,0.859,0.074,354.931,Red-violet
Pink Lupine,3688,DA8BAC,0.727,0.104,353.370,Red-violet
Berry Smoothie,3687,CD568D,0.621,0.161,353.980,Red-violet
Bordeaux,3803,8D024A,0.418,0.168,359.261,Red-violet
Bramble,3685,770D3F,0.376,0.142,359.449,Red-violet
Rosebud,605,F8B9CE,0.849,0.077,357.087,Red-violet
Pink Hyacinth,604,F99FBD,0.801,0.112,358.430,Red-violet
Macaroon Pink,603,F27DA4,0.732,0.149,0.255,Red
Pink Verbena,602,E55283,0.648,0.186,3.318,Red
Impatiens,601,D1235B,0.564,0.207,9.318,Red
Radish,600,D1006C,0.557,0.225,0.858,Red
Carnation,3806,FF8FB8,0.781,0.142,357.562,Red-violet
Fuschia,3805,E94E99,0.657,0.202,354.320,Red-violet
Bengal Rose,3804,E22881,0.607,0.226,358.321,Red-violet
Lotus Blossom,3609,FCBBE4,0.863,0.091,340.971,Red-violet
Foxglove,3608,F495D1,0.786,0.135,342.225,Red-violet
Hibiscus,3607,DF43A9,0.637,0.216,344.847,Red-violet
Rose Magenta,718,B3097D,0.511,0.211,347.098,Red-violet
Dark Magenta,917,A80076,0.486,0.205,346.538,Red-violet
Bougainvillea,915,800059,0.398,0.168,346.531,Red-violet
Allium,33,BA6FC3,0.654,0.145,323.112,Red-violet
Tyrian,34,812C7E,0.450,0.154,329.213,Red-violet
Plum,35,7D2171,0.425,0.156,333.765,Red-violet
Amethyst Haze,778,D3A7B7,0.773,0.056,354.732,Red-violet
