vendor_code,name,hex_color,oklch_l,oklch_c,oklch_h,color_family
K001-189,Baby Pink,fbc2ce,0.868,0.067,4.465,Red-violet
K001-110,Peony,fbc2c8,0.867,0.066,11.409,Red
K001-1225,Med. Pink,fbafb9,0.829,0.090,10.484,Red
K001-141,Carnation,f999b9,0.790,0.120,358.733,Red-violet
K001-261,Bubble Gum,f99aad,0.788,0.115,7.064,Red
K001-845,Sassy Pink,f76caf,0.719,0.183,352.592,Red-violet
K001-1841,Dragon Fruit,f0529f,0.674,0.206,353.979,Red-violet
K001-1049,Brt. Pink,ef4ea0,0.669,0.210,352.929,Red-violet
K001-490,Honeysuckle,f22977,0.632,0.234,4.899,Red-violet
K001-451,Valentine,d8317e,0.595,0.210,358.111,Red-violet
K001-1066,Cerise,a52a65,0.495,0.167,355.908,Red-violet
K001-861,Ballet Slipper,fbd5cd,0.903,0.044,31.805,Red
K001-1291,Pink,fac1c2,0.862,0.066,17.282,Red
K001-1144,Bellini,fac0be,0.859,0.067,20.773,Red
K001-1465,Dusty Peach,fcc6b9,0.871,0.065,33.809,Red-orange
K001-274,Primrose,f6b2ab,0.825,0.081,25.527,Red
K001-1228,Melon,f8828b,0.741,0.144,16.411,Red
K001-190,Camellia,f75f74,0.687,0.186,15.217,Red
K001-419,Azalea,f6577f,0.679,0.195,8.744,Red
K001-447,Punch,f55164,0.665,0.199,17.858,Red
K001-1384,Watermelon,f33050,0.630,0.226,18.713,Red
K001-1295,Pomegranate,d90555,0.566,0.225,10.896,Red
K001-481,Sangria,a3124a,0.466,0.177,6.243,Red
K001-1283,Pearl Pink,fce5e3,0.940,0.025,23.439,Red
K001-1281,Peach,fab89f,0.837,0.084,41.618,Red-orange
K001-185,Creamsicle,fa9375,0.765,0.132,37.037,Red-orange
K001-1483,Salmon,f8846d,0.738,0.146,32.417,Red-orange
K001-1087,Coral,f34a40,0.649,0.207,27.796,Red-orange
K001-1308,Red,d50f2c,0.554,0.219,23.576,Red
K001-1063,Cardinal,c7082a,0.526,0.209,22.870,Red
K001-1480,Chinese Red,c1061b,0.512,0.206,25.985,Red
K001-1551,Rich Red,a50c1e,0.459,0.180,24.360,Red
K001-352,Ruby,a50b1f,0.459,0.180,23.972,Red
K001-1390,Wine,9a1b2c,0.448,0.161,20.372,Red
K001-1091,Crimson,7a1925,0.384,0.131,19.632,Red
